type	latitude	longitude	altitude (m)	color	opacity	name	desc
T	-1.398039336	36.727392518	1747.8				
T	-1.395408230	36.727998611	1762.4				
T	-1.392580287	36.728616561	1770.3				
T	-1.389960598	36.729202505	1774.0				
T	-1.387647662	36.729750256	1773.8				
T	-1.385324904	36.730195806	1775.4				
T	-1.383297422	36.730506536	1777.3				
T	-1.381575329	36.730785130	1778.9				
T	-1.380261492	36.731023156	1778.9				
T	-1.379049618	36.731250655	1781.9				
T	-1.378038750	36.731453493	1772.0				
T	-1.377127494	36.731821921	1757.5				
T	-1.375546259	36.732226751	1780.9				
T	-1.374948049	36.732393878	1789.8				
T	-1.374251847	36.732574973	1790.8				
T	-1.373556251	36.732756010	1793.1				
T	-1.372748073	36.732844636	1797.2				
T	-1.371949953	36.733034214	1803.9				
T	-1.371152287	36.733223688	1810.6				
T	-1.370344893	36.733311476	1814.2				
T	-1.369426942	36.733308642	1817.1				
T	-1.372805839	36.732424747	1796.2				
T	-1.375099175	36.731862809	1786.5				
T	-1.377708437	36.731275810	1771.9				
T	-1.380536626	36.730687167	1777.3				
T	-1.383073021	36.730323879	1777.6				
T	-1.385314604	36.730094114	1775.7				
T	-1.386944637	36.729925311	1774.5				
T	-1.388371403	36.729778560	1773.3				
T	-1.389390593	36.729673450	1774.3				
T	-1.390511589	36.729553910	1771.7				
T	-1.391225322	36.729480188	1770.7				
T	-1.392143114	36.729382960	1770.4				
T	-1.392347103	36.729361806	1770.3				
T	-1.391633182	36.729436614	1770.6				
T	-1.388748005	36.729431387	1774.0				
T	-1.386383479	36.729469046	1776.2				
T	-1.383681356	36.729228871	1778.3				
T	-1.380997851	36.729188730	1785.7				
T	-1.378301950	36.728959303	1785.3				
T	-1.375261220	36.728707801	1762.9				
T	-1.372632873	36.728735352	1797.7				
T	-1.370587273	36.728750390	1803.8				
T	-1.369066525	36.728818829	1814.7				
T	-1.367734071	36.728666425	1827.8				
T	-1.366622105	36.728692060	1832.6				
T	-1.365791825	36.728573904	1832.3				
